,keywords,popularity,example1,example2,example3
10,"мир, сила, жизнь, бог, знать, становиться",0.001662754303599,"Сила V правде ! Zа наших ! Вместе Zа мир ! 
Россия! Цвет яблонь весенний, 
Синь нежно цветущего льна, 
Певучий рязанец Есенин 
И звездный Гагарин - она! 
( В.Боков) 
#СвоихНеБросаем#ЗаРоссию#ЗаНаших#МыZнаем#CилаVправде#ЗаПрезидента#РусскаяВесна#ZaМир","Как хочется чтоб мир услышал нас 
Когда в душе сомненья закрадутся 
Ты устоишь и ты не сломлен мой Донбасс 
И люди мира за руки возьмутся...
#СвоихНеБросаем","ПЯТЬ СВЕЧЕЙ БАЙРАКА
(посвящается Донбассу)

Мы все любуемся закатом: тонуть в нём точно - не впервой.
Другого, лучшего, не надо! Оставьте мне Донбасс живой! 
Подите прочь все, кто здесь лишний. Дождь смоет вражьей ""лапы"" след, 
Зажжёт здесь поутрУ Всевышний... особенный, церковный свет! 

Он разольётся по планете лучами праведной борьбы - 
Развеет мой Донбасский ветер сгоревший пепел от судьбы. 
И в ожиданьи хлопьев снежных Байрак притихнет и уснёт: 
В минутах этих безмятежных я разрублю канатов гнёт. 

Очищу ямы от снарядов. Натру до блеска купола. 
Свяжу в котомку ""Смерчи-Грады"", чтобы война с собой взяла. 
СыпнУ убийцам всем убогим в карман нагрудный пять свечей: 
Быть может их огонь в дороге прозрением станет палачей. 

Сгорая, первая покажет кровавый след у самых ног, 
Колючей проволокой свяжет, проткнув резину от сапог. 
Не будет это страшной платой, скорее в зеркале кино, 
Когда с оружием на брата вы шли! Вам было всё равно! 

Вторая свечка станет страхом: по венам растечётся вся - 
Там разгуляется с размахом, как боль по телу поросЯ. 
Того, что люди пощадили, открыв загон, чтобы ""гулял"", 
А он, наделав ""дел"" и пыли, помчался и на штырь попал. 

Третья свеча особой будет. В ней - слёз поток, где плачет мать, 
Где обнимают её люди, от гроба пробуя отнять. 
Молитва - тихим-тихим фоном - детей, что больше никогда 
Не позвонят по телефонам, не прибегут играть сюда. 

С четвёртой свечкой непременно в душе ""вояк"" начнётся бой! 
Это и будет самым ценным: борьба пойдёт с самим собой. 
Сердечный стук услышит разум и дрожью побегут к мозгам 
Слова: ""Ответь мне, база! База! Что за приказ отдала нам? 

Мы бьём наотмашь по детишкам! Мы братьев ""решетИм"" тела! 
Ты что творишь? Ведь это слишком! Зачем нас к смерти призвала?"" 
Это и будет пятой свечки - огонь, что рук не обожжёт! 
Он устранит мозгов ""протечки""... И мирно мой Донбасс вздохнёт!

Автор: Ю. Андросова.
Фото: А. Смирнов. 

СПРАВОЧНО: 
посёлок Байрак - окраина современной Горловки, Донбасс.

© Copyright: Юля Андросова, 2019 
Свидетельство о публикации №119122002156

#ЮсиныСтихи #ПятьСвечейБайрака 
#Жлобин #Zhlobin #ЮсинДонбасс #ЗаРоссию #ZаНаших"
11,"работа, восстановление, донбасс, строитель, помогать, строительный",0.001662754303599,"Наши военные строители начали восстановительные работы на Донбассе. В первую очередь строятся жилые дома. Восстанавливаются дороги, а для этого строятся в короткие сроки асфальтовые заводы. Это ли не показатель добрых намерений наших военных? #СвоихНеБросаем #ZаНаших #МыВместе #ZаПрезидента
[Фотография]
https://vk.com/photo504748930_457246333","Единая Россия в регионах собирает гуманитарную помощь для жителей Донбасса и освобожденных территорий. В списке необходимого - продукты, предметы первой необходимости и стройматериалы для восстановления инфраструктуры разрушенных городов.  
#своихнебросаем #времяпомогать #Zамир #мывместе","«Единая Россия» вместе с «Российскими студенческими отрядами» поможет в восстановлении Донбасса. 
 
Восстанавливать дома также поможет «Молодая Гвардия Единой России». Волонтеры организации уже сейчас получают заявки на помощь в ремонте школ. 
«Российские студенческие отряды» собираются привлечь молодых врачей в качестве младшего медицинского персонала. Для этого они намерены провести работу с медуниверситетами. 
 
В перспективе от партии на Донбасс смогут поехать не только строители, инженеры и медики, но и педагоги, которые помогут в организации досуга для детей и подготовке к новому учебному году. 
 
Подписан указ президента о волонтерской деятельности, действует рабочая группа, которая страхует волонтеров. Теперь есть возможность застраховать добровольцев, которые отправляются на помощь Донбассу. Кроме того, работу в студотрядах, планируют приравнять к прохождению практики в ВУЗах.
 
#ЕдинаяРоссия #СвоихНеБросаем #МыВместе #ВремяПомогать #ZaМир"
12,"санкция, газ, экономика, рубль, запад, европа",0.001662754303599,"🇪🇺В Европе прозревает все больше людей. 60% европейцев винят в росте цен на энергоносители свои правительства, ЕС и энергетические компании, а не Россию. Результаты масштабного опроса, проведенного в Австрии, Германии, Греции, Испании, Италии, Нидерландах, Польше, Португалии и Франции, опубликовала испанская газета El Mundo. 

Данные опроса показали, что 25% европейцев, считают, что правительства их стран виноваты в росте цен на энергоносители. Около 24% респондентов ответили, что вина лежит на энергетических компаниях. Еще 11% считают, что в сложившейся ситуации ответственность несет ЕС. 

#СНДЮМО #ЕР42 #МыЕдины42 #ZаРоссию #ZаНаших #ZаПутина #СвоихНеБросаем","Санкции против России вводятся на протяжении, наверное, всей истории существования нашей страны. Самый их пик пришелся в наши дни, сразу после того, как Россия признала независимость ДНР и ЛНР. К чему это привело? Санкции приостановили поставки удобрений, пшеницы, подсолнечного масла из РФ, взвинтили цены на топливо в ЕС. Цены выросли, появился дефицит ряда продуктов, к которым привыкли европейцы. Пока Запад играет в санкции, забыв о таком понятии как импортозамещение, мы сегодня идём на ярмарку и с удовольствием покупаем продукты своих производителей, качество которых, ни в чем не уступает импортным товарам.
#СвоихНеБросаем #zaПутина #РоссияzaПутина","Только посмотрите, что сказал экс-министр промышленности, торговли и ремёсел Италии, Паоло Савона: «Я был убежден, что санкции введены против России, до тех пор, пока не заехал на бензоколонку». 
 
#6марта #своихнебросаем #давайзамир"
13,"концерт, поддержка, песня, проходить, благотворительный концерт, военный",0.001662754303599,"Заслуженный артист России, депутат Госдумы Денис Майданов выступил на концерте в поддержку семей российских военных в Кубинке. Он поделился воспоминаниями о поездке в Донбасс и общении с людьми, которые благодарны ВС РФ за помощь.

«С огромным удовольствием стою здесь на сцене, чтобы подержать семьи военных, выполняющих государственные задачи в Донбассе, на Украине, и заочно передать ребятам привет. Пожелать выдержки, крепости духа», — сказал артист.

Майданов добавил, что ездил в Донбасс с гуманитарной миссией депутатов Госдумы от «Единой России» с 16 по 18 марта. Успели проехать несколько городов: Гранитное, Счастье, Волноваху, Луганск, Донецк.

«И знаете, самое главное, что мне понравилось, что я услышал от людей, что они счастливы. Они сказали: „Мы потерпим эти временные лишения, но мы вас ждали не восемь лет, мы ждали вас 30 лет. Все это время мы находились под гнетом за то, что говорим на русском языке, что храним и любим наши традиции и нашу культуру“», — сказал Майданов.

https://360tv.ru/news/mosobl/ljudi-schastlivy-chto-rossija-prishla-na-pomosch-majdanov-o-poezdke-v-donbass/
#ЗаПрезидента #СвоихНеБросаем #РусскаяВесна","Сегодня в КДЦ прошёл благотворительный концерт ""Своих не бросаем"". 

Артисты подарили зрителям душевные и эмоциональные выступления. 

Именно сейчас мы должны быть едины, поддерживать наших солдат, их семьи. 

Спасибо всем, кто откликнулся, спасибо организаторам и артистам.

#Своихнебросаем#Суксун#ЗаМир#мывместе","Пока одни российские исполнители в это непростое время осуждают свою страну, при этом продолжая колесить по регионам и зарабатывать деньги на концертах, другие действительно болеют за Родину и всячески поддерживают ее и своих соотечественников. Так, на фестивале «Таврида АРТ», стартовавшем накануне в Крыму, для гостей звучали патриотические песни. 

На сцене выступил певец Ярослав Дронов, известный под псевдонимом SHAMAN — он исполнил песню «Я русский», которая, по словам самого артиста, отражает его любовь к отчизне. Также на фестивале выступил боец Росгвардии, исполнивший легендарную песню группы «Кино» — «Группа крови». 

Фестиваль «Таврида», как Всероссийский молодежный образовательный форум стартовал еще в 2015 году. В арт-кластер мероприятие превратилось лишь четыре года назад и теперь объединяет многие творческие направления, в которых русская молодежь может самовыражаться и находить единомышленников.

#своихнебросаем #ZаРоссию"
14,"письмо, акция, поддержка, военный, ребята, слово",0.001662754303599,"Через наш город из села Романовка Приморского края проехал Павел Яковенко. Мужчина решил на своем авто добраться до Украины. На отечественных «Жигулях» он планирует преодолеть примерно 11 000 километров. 

С начала пути он поставил себе одну цель – добраться до Аллеи Ангелов и поставить там свечу в память о погибших детях. Кроме того, у него на Украине живет мать – связь, с которой прервалась и он даже не знает, что и думать, но всячески отгоняет от себя печальные мысли.  

Его поездке суждено было превратиться в настоящую миссию. Можно сказать, что его путь только начался, но Павлу уже передали несколько коробок с письмами от детей, в том числе и свободненцев, для наших ребят, которые сейчас находятся в зоне спецоперации.

#Своихнебросаем #городСвободный #Свободный","Дорогие друзья! Сегодня был отправлен очередной сбор для наших бойцов, в один из пунктов сбора в Нижний Новгород. Термобелье, вязанные носки, постельное белье в госпиталь, мёд, письма, медикаменты.            Заготовки для блиндажных свечей. Спасибо всем кто откликнулся на сбор банок.                         Две масксети (спасибо кто откликнулся🙏материал, тюль все пригодилось) Надя ты мастерица😍спасибо тебе огромное за сети, сплела за короткий срок времени. Тоже начинаем плести с дочкой.                                Сбор продолжается! Пожалуйста, не оставайтесь в стороне! Нашим ребятам очень нужна наша поддержка, наша забота!                               Спасибо за доверие🙏                  #своихнебросаем #вместемысила","Новочебоксарское городское местное отделение партии присоединилось к Всероссийской акции «Тепло для героя» в поддержку Вооруженных Сил Российской Федерации.
Акция началась 10 января и продлится до 23 февраля 2023 года. «Серебряные» волонтеры и люди старшего поколения с активной жизненной позицией со всей страны могут отправить российским военнослужащим письма со словами поддержки и теплый подарок, связанный своими руками ко Дню защитника Отечества.
Одними из первых к данной акции присоединились женские клубы города. Участники клуба ""Верные друзья ""связали шерстяные носки для военнослужащих. 
Письма и теплые подарки принимаются в местной приёмной Партии ""ЕДИНАЯ РОССИЯ"" по адресу: ул. Винокурова, д.12.
Телефон для справок: 73-89-00.
 Все письма и связанные вещи будут переданы солдатам ко Дню защитника Отечества.
#ДолголетиедляВсех #СтаршееПоколение#своихнебросаем #Zaмир #Мывместе #ЕР21"
15,"бабушка, флаг, топтать, знамя победы, украинская бабушка, старушка",0.001662754303599,"Расколы и противоречия в западном мире по поводу санкций обостряются. Венгрия блокирует новые санкции, другие страны высказывают активное недовольство ситуацией на энергетическом рынке. 
 
Усиливается разочарование жителей западных стран в антироссийской политике своих правителей. В Европе уже можно составлять карту протестов против санкций: дальнобойщики протестуют в Мадриде, протесты водителей во Франции из-за повышения цен на топливо, протесты таксистов против повышения цен в Барселоне, митинг фермеров в Испании против роста цен на топливо и дефицита удобрений, протест латвийских водителей против закрытия «Яндекс.Такси». 
 
 
Реакция на уход иностранных компаний с российского рынка спокойная и даже безразличная – по данным ФОМ, 49% россиян отмечают, что это никак не скажется на их жизни, 25% – не сильно ухудшит. 
#ГероиZ #СилаVправде #ZaМир #ZaПобеду #ZаПацаноV #ZаканчиваемVойны #ZаНаших 
🇷🇺 [id15130150|@Ministerstvo_oborony] 🇷🇺#ЗаПрезидента 
#СвоихНеБросаем 
#ЗаМир","Первая любовь и война.

9 мая. Праздник любимый мной с детства. Передающийся по наследству в нашей семье.
Как то раз я спросила бабушку, почему мы так накрываем столы, отмечаем, помним и любим именно 9 мая. 
""Знаешь, мы познакомились на танцах, тогда была такая почта, кто кому нравился писали записочки и девушки их приносили, знакомя молодых людей. Тогда я и познакомилась с моей первой любовью, с моим будущим женихом в Тобольске на танцах в училище. Тогда и у моей сестры старшей получился роман. Но какие это были светлые чистые юноши! Речи не шло о поцелуях, за руку чтобы подержать мы гуляли долгие месяцы. Но мечтали о детях, о семье, завести корову, козочек. Серьезные были парни, ответственные. И такие светлые добрые души у них!
И вот всеобщая мобилизация. Война. В 1941 году моего жениха и жениха сестры забрали на фронт. В скорости мы узнали, что на них пришли похоронки. Они погибли."" 
Бабушка замолчала. Первая любовь...
Уже после института я приехала к сестре моей бабушки и в 80 лет она достала альбом, который я никогда не видела,  с фотографиями своего погибшего на войне жениха. 
""Я его люблю. Всю жизнь... ""  - глаза ее наполнились слезами ""Это были совершенно чистые и светлые душой парни, что погибли на той Великой войне, не забывайте их. Помните 9 мая! Не забывайте!""
Уже нет моих двух самых любимых сестер бабушек. Они прожили поистине достойные жизни, воспитывая дочерей и сыновей, ухаживая за своими престарелыми родителями, делали карьеру, служили Родине и помогали людям во всем. Пройдя через многие страдания не озлобились и не потеряли веру в людей. Две сестры Нина и Пана.
В каждой семье есть личные истории, связанные с 9 мая. У меня это первая любовь двух замечательных сильных женщин, потерянная на поле боя...

Не забывайте! 

Во имя всего живого - ПОМНИТЕ !

#ЯмалПомнит#БессмертныйПолк89#БессмертныйПолк#НеТолько9мая#ZаНаших#ZаПутина#СвоихНеБросаем#ZаРоссию#Салехард

На фотографиях моя бабушка с мужем Николаем
И я с бабушкой.","Показательные примеры личной поддержки друг друга и военных со стороны граждан России и республик Донбасса: о творчестве  Елизаветы Авдеевой знают уже по всей России. Талантливая художница живет в станице Степной Приморско-Ахтарского района. Восьмиклассница рисует портреты военных. Девочка хочет поддержать и вдохновить наших защитников. 

В её портфолио уже более 10 работ. На них запечатлены знаменитая бабушка с Красным Знаменем, солдат с ребенком, летчики и   военнослужащие. 24 мая в краснодарском выставочном зале открылась экспозиция Елизаветы. 

Знаю, что девочка мечтает стать художником-мультипликатором. Желаю, чтобы её мечта обязательно сбылась! 

#ZаРоссию
#ZаНаших#ZаПутина#СвоихНеБросаем!"
16,"нацизм, победа, мир, фашизм, военный",0.001662754303599,"Донецк снова под бомбежкой. 13 июня по территории города ВСУ выпустили 154 снаряда системы «Град» — самое большое количество за все 8 лет. Удары наносятся исключительно по жилой и социальной инфраструктуре. Российские военные продолжают бороться с теми, кто убивает мирных жителей и ведет бесчеловечную игру. Нацисты будут повержены! Победа будет за нами!
#ZаРоссию#ZаНаших#","«Мы видим, что мы тогда победили фашизм на время. Сегодня фашизм поднял голову на Украине»: член Кузбасского добровольного общества «Жители блокадного Ленинграда» Тамара Махалова поделилась своим мнением о проходящей на Украине спецоперации. 

- Жители Донбасса испытывают голод, холод, недостаток еды и воды, страдают от бомбардировок и артобстрелов. Восемь лет это длится. И поэтому специальная военная операция в Донбассе имеет очень большое значение – победить фашизм, чтобы он уже никогда никому не мешал. 

#ZaПрезидента #ZaНаших #ZaРоссию #ZaКуzбасс #СвоихНеБросаем #ZaКемероVo","Не только россияне, но и весь мир должен поддержать борьбу с нацизмом. Я убеждена, что Победа будет за нами, что мы победим нацизм.
#ZaРоссию#ZaНаших #СвоихНеБросаем"
17,"спорт, спортивный, соревнование, спортсмен, игра, турнир",0.001662754303599,"🥇 Единая Россия и МГЕР запустили проект «Чемпионы – детям Донбасса» 
 
Старт проекту,который будет реализован в Луганской и Донецкой Народных Республиках, Запорожской и Херсонской областях, дали в Шахтёрске (ДНР). 

Мастер-класс по боксу провел депутат Госдумы, чемпион России и мира по боксу Дмитрий Пирог. 
Благодаря данному проекту партия сможет поддерживать развитие детского спорта на новых территориях. 

Уже открыты секции по самбо и боксу в Мариуполе. Планируется также проведение мастер-классов с участием именитых спортсменов, а также соревнований на кубок «Молодой Гвардии».

 #ЕдинаяРоссия #Мывместе #Своихнебросаем #Времяпомогать #Zамир","Бывший боец ММА Джефф Монсон, а ныне гражданин России, рассказал о том, что американское правительство не дает миру узнать правду о Донбассе. «Я впервые поехал на Донбасс в 2016 году из Америки, и я понятия не имел, что конфликт продолжался уже два года. Я был шокирован, когда увидел минометы, летящие снаряды. Обстрелы каждый божий день. В течение последних восьми лет Украина атаковала этих людей. Почему?» - отметил спортсмен.
#всегдапротивнацизма 
#ZаПутина 
#ZaНаших 
#ZаРоссию 
#ZaПрезидента 
#СвоихНеБросаем 
#ЕР42","Уже в субботу мы будем отмечать юбилей Красногвардейского района! 
Организаторы запланировали массу мероприятий: концерт, скачки,  работа национальных подворий и различных площадок, выставки и, конечно, спортивные соревнования. Мы, любители активного отдыха и спорта, с радостью посостязаемся! Покажем себя и посмотрим на других!
Команда Подольского сельсовета примет участие в веселых стартах. Думаю, будет интересно! Как и всегда, на спортивных площадках будут царить азарт, веселье и дух здорового соперничества. А победит, безусловно, дружба, несмотря на очки и баллы! Ведь мы, жители нашего большого, дружного и многонационального района, - единая команда, которая учится, трудится, развивается, соревнуется во благо своей малой Родины!
Мы любим наш район! Мы любим нашу Великую страну!
 #ZаРоссию   #ZаНаших #СвоихНеБросаем #Мывместе"
18,"проект, проект правда, конкурс, фирменный мерч, поддержка, получать фирменный",0.001662754303599,"Памятник Екатерине II в Одессе демонтируют в ближайшее время, поскольку монумент не имеет никакой художественной ценности. Об этом заявили местные власти. А ведь в конце XIX века он победил на конкурсе проектов к столетию Одессы, а также был признан лучшим на Парижской архитектурной выставке 1901 года. Мда…
#ZаМир  #ZаРоссию  #ZаНаших  #ZаПрезидента  #СвоихНеБросаем","«Россия говорит правду!», «Проект Буча - фейк», «Остановим неонацизм вместе!» - с такими лозунгами жители Кипра вышли на улицы, чтобы поддержать Россию
🤍💙❤️
#ЗаПрезидента #СвоихНеБросаем #РусскаяВесна #Zaмир #ВремяПомогать #МыВместе #ХимкиZ","Если ты не интересуешься политикой, она очень скоро заинтересуется тобой, особенно, если речь о геополитике. 
 
Мой день начался с просмотра новостей. И какого было мое удивление, когда узнал, что ситуацию с Донбассом не удалось урегулировать мирным путем. Целый день я читал новостные ленты и чаты в телеграмме, чтобы разобраться в происходящем. И пришел к выводу, что случившееся — это вынужденная мера. Мера, которая позволит населению Луганской и Донецкой республик жить спокойно. 
 
Сейчас эта тема будет звучать из каждого «утюга». Призываю людей не делать поспешных выводов, качественно фильтровать информацию, полученную, в социальных сетях. Друзья, не поддавайтесь провокациям и не создавайте панику. 
 
Россия – Великая страна, со своей историей! Страна, где родились гениальные деятели искусства, писатели, инженеры, ученые, политики. Верьте и любите свою страну! 
Уверен, что правда за нами. У кого правда - тот и сильнее! 🇷🇺❤

#своихнебросаем #мгер #мгер86 #молодаягвардия #молодаягвардия86"
19,"днр, народная республика, лнр, помощь, житель, донецкий",0.001662754303599,"❗️ В Московской области статус соцпредприятия теперь можно получить онлайн на портале госуслуг региона — РПГУ

Подмосковье – лидер по числу социальных предприятий в регионе: в реестре числится порядка 570 субъектов малого и среднего предпринимательства. 

И теперь процедура подачи заявлений для включения в реестр запущена в онлайн-режиме. Это сильно упростит и ускорит процесс. Сведения о признании социальным предприятием будут также вноситься в электронный реестр.

В условиях, когда наша страна столкнулась с западным санкционным давлением, требуются быстрые и эффективные решения для поддержки отечественного бизнеса и предпринимательства. Поэтому Подмосковье продолжает расширять такие антикризисные меры поддержки.

#Подмосковье #ЕР50 #СвоихНеБросаем #МыВместе","Донбасс - это люди! Решение президента России, о признании ДНР и ЛНР - единственный выход из политического тупика.Признание независимости дает возможность отстаивать  права народам ДНР и ЛНР на международной арене, бороться за мир и порядок на своей земле. 
#ЕдинаяРоссия #СвоихНеБросаем 
#МыВместе #ВремяПомогать","Жители России массово поддержали спецоперацию по демилитаризации в Донбассе. 
 
Это избавление России от военных угроз, которые НАТО последовательно создавала и наращивала у наших границ. Это не операция против мирного населения. Это операция по спасению жизней людей в Донбассе и предотвращению нападения на Россию. 
 
С самого начала спецоперации Россия не отступает от поставленных целей, которые чётко сформулировал Президент в своём обращении от 24 февраля. 
 
Глава государства и сейчас указывает на них: «Цель главная – помощь людям на Донбассе, народным республикам Донбасса, которые мы признали. Вынуждены были это сделать, потому что киевские власти, подталкиваемые Западом, отказались выполнять Минские соглашения, нацеленные на мирное решение проблем Донбасса. Публично заявили! Дальше терпеть этот геноцид, продолжавшийся 8 лет, было просто невозможно». 
 
#СвоихНебросаем #МыВместе #Zaмир #ЛуховицыZaмир"
20,"семья, помощь, поддержка, единая россия, семья мобилизовать, вопрос",0.001662754303599,"Сегодня мы вновь проводили мобилизованных переволочан на боевую подготовку перед отправкой на территорию проведения СВО. 

Гордимся каждым! Ждем возвращения тем же составом, которым сегодня присутствовал на площади! 

Главное помнить, что взаимовыручка и дисциплина — важные составляющие на службе. Всегда при любых обстоятельствах нужно быть людьми, помогать друг другу. 

Семьям мобилизованных жителей будет оказана всесторонняя помощь и поддержка. 
 
#СвоихНеБросаем#ZaРоссию#ZaМир#МыВместе#ПереволоцкийРайон","Представить не могу, как же тяжело наверное сейчас семьям мобилизованных, сколько переживаний и волнений у них. И очень правильно, что волонтеры Единой России поддерживают эти семьи. Уже обработано более 13 тысяч обращений о помощи мобилизованным и их семьям. Большая часть обращений касается предоставления льгот и соцгарантий, решения бытовых вопросов. 

Оставить заявку на оказание помощи можно по телефону горячей линии 88002003411.

#ЕдинаяРоссия #своихнебросаем #мывместе #времяпомогать #замир","Уважаемые жители Иркутской области!

Саянск отправил посылки от семей мобилизованных и неравнодушных жителей города. Есть среди вас жители саянска? Пишите в комментариях🤝

29 посылок смогли отправить семьи мобилизованным родственникам. Также активное участие в помощи сбора приняли:

🔻Управляющая компания «Искра»
🔻ИП Силкин
🔻Предприниматель Каюденко Юрий
🔻Коллектив ООО «Паритет»
🔻Союз пенсионеров
🔻Саянский благотворительный фонд при поддержке неравнодушных граждан
🔻Столбанова Анна

Совсем скоро всё доставят мобилизованным гражданам👍

📌Семьи мобилизованных военных могут получить необходимую помощь волонтёров позвонив по номеру 8 800-200-34-11.

#ОбластьМолодых #МЫВМЕСТЕ #СвоихНеБросаем"
21,"единая россия, региональное отделение, помощь, житель, отделение партии, область",0.001662754303599,"Накануне Дня защитника Отечества секретарь местного отделения Партии ""Единая Россия"" Ринат Равильевич Жалялов посетил зону специальной военной операции. Встретился с ребятами, мобилизованными из нашего района, передал им гуманитарный груз, собранный на средства жителей и уроженцев округа. В него вошли оборудование, продукты питания, тёплые вещи, часть из которых была связана и сшита самими жителями, средства гигиены, печки, открытки и письма от учащихся, индивидуальные посылки, а также автомобиль УАЗ ""буханка"", который, предварительно пройдя полное техобслуживание, своим ходом, гружённый гуманитаркой, прибыл в распоряжение военных.

Ринат Равильевич пообщался с земляками на передовой, познакомился с условиями службы. От жителей округа поздравил ребят с праздником, пожелал успешного выполнения боевых задач и скорого возвращения домой живыми и здоровыми. 

""Радует, что настроение у наших земляков боевое, все настроены на Победу. Бойцы передают всем большой привет и благодарность за поддержку и заботу. Ещё раз хочу поблагодарить всех, кто внёс свою лепту в помощь для защитников Отечества. Уверен, что наша с вами работа в этом направлении будет обязательно продолжена. Своих не бросаем!"", - отметил Ринат Равильевич.

#КраснооктябрьскоеМО#Zамир#ZаПобеду#Краснооктябрьскиймуниципальныйокруг","Волонтёры Анапского местного отделения Партии «Единая Россия» помогают инвалиду первой группы Константину посетить МФЦ для получения документов!

#ер23
#ЕдинаяРоссия 
#СвоихНеБросаем","«Единая Россия» открыла региональные отделения в ДНР и ЛНР. Секретарем Донецкого отделения партии избран врио главы Республики Денис Пушилин, Луганского отделения - председатель Народного Совета ЛНР Денис 
Мирошниченко. 
В состав руководящих органов Донецкого отделения «Единой России» вошли представители команды главы Республики в администрации региона, Народного Совета ДНР, молодёжных и патриотических объединений, отрасли культуры, медицины и науки, бизнеса, самого крупного общественного движения в регионе «Донецкая Республика», представляющего интересы жителей во всех сферах. В регионе заявления на вступление в партию подали уже более 43 тысяч человек. 
В ЛНР в региональный политсовет «Единой России» вошли врио главы Республики Леонид Пасечник, представители администрации региона и Народного Совета, молодёжных и ветеранских объединений, профсоюзов, общественного движения «Мир Луганщине», научного сообщества, культуры, спорта и здравоохранения. Заявление о вступление в партию подали более 22 тысяч жителей. 
Создание региональных отделений партии в ДНР и ЛНР решает главную задачу, которую выполняет «Единая Россия» в Российской Федерации: помощь людям, забота о них, защита и благополучие. Это всё то, что вошло в народную программу партии, с которой партия победила на выборах депутатов Госдумы восьмого созыва. 
-Партия будет укреплять взаимодействие со всеми структурами в регионах и сделает всё для развития экономики и народного хозяйства. 
#СвоихНебросаем #МыВместе #ВремяПомогать #Zaмир #ЕР73 #ЕРпомогает #УГД #Ульяновск73 #киндяковцы #ДепутатАбитов"
22,"стихотворение, русский, патриотическое стихотворение, поэт, читать, стих",0.001662754303599,"#СвоихНеБросаем
#Zа_Россию_Zа_Мир_без_нацизма_Zа_Донбасс_Zа_Президента

ЗА РОССИЮ! 

🇷🇺

«Мне приходят в голову слова из Священного Писания: нет больше той любви, как если бы кто-то отдал душу свою за друзей своих», - сказал Путин. 

И ещё несколько слов... Совсем недавно мне в интернете попалось одно стихотворение замечательного русского поэта ""Серебряного века"" - Игоря Северянина. Оно посвящено роли России в мире, извечному, казалось бы, противостоянию России с Западом, но оно было написано ещё в 1923 году, чуть меньше, чем 100 лет назад, а кажется таким актуальным и жизненно необходимым именно сейчас! Итак:

ИГОРЬ СЕВЕРЯНИН 

""КОЛЫБЕЛЬ КУЛЬТУРЫ НОВОЙ""🇷🇺 

Вот подождите – Россия воспрянет,
Снова воспрянет и на ноги встанет.
Впредь ее Запад уже не обманет
Цивилизацией дутой своей…

Встанет Россия, да, встанет Россия,
Очи раскроет свои голубые,
Речи начнет говорить огневые, —
Мир преклонится тогда перед ней! 

Встанет Россия — все споры рассудит…
Встанет Россия — народности сгрудит…
И уж у Запада больше не будет
Брать от негодной культуры росток.

А вдохновенно и религиозно,
Пламенно веря и мысля серьезно,
В недрах своих непреложностью грозной
Станет выращивать новый цветок… 

Время настанет – Россия воспрянет,
Правда воспрянет, неправда отстанет,
Мир ей восторженно славу возгрянет, –
Родина Солнца – Восток!

1923 г. 

И почти через 100 лет спустя:

Настал тот час, когда Россия 
Воспрянет гордо ото сна, 
Она покажет всему миру, 
Где НАШИ и где их ПРАВА!! 

2022 г.","Артисты Джанкойского района поддерживают солдат Российской Армии! Мы точно знаем, что только любовь к Отечеству, к своим родным и близким делает нас и нашу страну сильнее! Гордимся нашими героями! #zароссию #zамир  #zанаших #zаправду #zасвободу  #джанкойскийрайон 
Рs: спасибо моим артистам и доченьке за исполнение стихотворения, которое я написала для наших ребят от души, чтобы согреть в морозы сердца настоящих мужчин - солдат Российской Армии","Стихотворение Александра Сергеевича Пушкина спустя почти две сотни лет по-прежнему актуально. 

Великий русский поэт написал его в 1831 году в ответ на антироссийские высказывания во французском парламенте и снабдил эпиграфом на латыни Vox et praeterea nihil, что означает «пустые слова».

#ZаРоссию #ZаНаших #ZаПутина #СвоихНеБросаем #zаРодину #КУZБАСС"
23,"президент, поддерживать, решение, спецоперация, военный, поддержка",0.001662754303599,"Сейчас нашей стране нужна поддержка и внимание. Каждый из нас может поддержать своих близких, родных и друзей. 
Это ведь не сложно. Улыбнуться, сказать приятные слова, проявить заботу о детях и пожилых людях. Сейчас просто необходимо каждому из нас забота, внимание и взаимоподдержка.#ЗаПрезидента #СвоихНеБросаем #РусскаяВесна","Я не делаю из него кумира, но он мне нравится как офицер, как президент. Ему сейчас непросто, поэтому я его поддерживаю!
#ZаПрезидента #Своихнебросаем #Zaмир","Поддержим наших бойцов, которые сейчас дают отпор нацистам в Харьковской области! Им сейчас не просто! 🇷🇺🇷🇺🇷🇺

 Бойцы просят молитв! Помоги им, Господи! 

МОЛИТЕСЬ О НАШИХ БОЙЦАХ О СИЛЕ ИХ ДУХА! И О ВРАЗУМЛЕНИИ И ПОСРАМЛЕНИИ ПРОТИВОБОРЦЕВ. ПРОСИТЕ ПОМОЩИ ДЛЯ НАШИХ РЕБЯТ НЕБЕСНОЕ ВОИНСТВО, СВ. ЦАРЯ НИКОЛАЯ, СВ. ВЕЛ.МУЧ. ГЕОРГИЯ, СВ. БЛ.ВЕЛ. КН. АЛЕКСАНДРА И ВСЕХ СВ. КНЯЗЕЙ И ВОЙНОВ. МОЛИТЕСЬ СО СЛЕЗАМИ, ЕСЛИ МОЖЕТЕ.

  НАШИ  РЕБЯТА  ПРОСЯТ  МОЛИТВ !  

#ZaНаших
#ZaРоссию
#ZаМир
#МыВместе
#СвоихНеБросаем"
